COMPANY_ID,cusip,TICKER,CONAME,year,MeetingDate,state,BLANKCHECK,CARVE_OUT,CBOARD,CONFVOTE,CUMVOTE,DUALCLASS,FAIRPRICE,GPARACHUTE,LABYLW,LACHTR,LSPMT,LWCNST,MAJ_VOTE_REQUIRED,MAJ_VOTE_REQUIREMENT,MAJOR_VOTE_COMM,PPILL,RESIGN_REQUIRE,CHARTER_AMEND_VOTEPCNT,FYEND,LAW_AMEND_VOTEPCNT,MTGMONTH,SPL_MEET_VOTEPCNT,SUPERMAJOR_PCNT,WRITTEN_CONSENT_VOTEPCNT,UNEQVOTE
618914,00101J106,ADT,THE ADT CORPORATION,2013,20130314,Delaware,YES,YES,,,,,,YES,,,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,,2012,,3,,51,,
618914,00101J106,ADT,THE ADT CORPORATION,2014,20140313,Delaware,YES,YES,,,,,,YES,,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2013,,3,,51,,
618914,00101J106,ADT,THE ADT CORPORATION,2015,20150317,Delaware,YES,YES,,,,,,YES,,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2014,,3,,51,,
618914,00101J106,ADT,THE ADT CORPORATION,2016,20160315,Delaware,YES,YES,,,,,,YES,,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2015,,3,,51,,
282,1055102,AFL,AFLAC INCORPORATED,2013,20130506,Georgia,,YES,,,,,,YES,YES,YES,YES,UNANIMOUS,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2012,51,5,100,51,100,
282,1055102,AFL,AFLAC INCORPORATED,2014,20140505,Georgia,,YES,,,,,,YES,YES,YES,YES,UNANIMOUS,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2013,51,5,100,51,100,
282,1055102,AFL,AFLAC INCORPORATED,2015,20150504,Georgia,,YES,,,,,,YES,YES,YES,YES,UNANIMOUS,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2014,51,5,25,51,100,
282,1055102,AFL,AFLAC INCORPORATED,2016,20160502,Georgia,,YES,,,,,,YES,YES,YES,YES,UNANIMOUS,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2015,51,5,25,51,100,
282,1055102,AFL,AFLAC INCORPORATED,2017,20170501,Georgia,,YES,,,,,,YES,YES,YES,YES,UNANIMOUS,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2016,51,5,25,50.01,100,
282,1055102,AFL,"AFLAC, INC.",2018,20180507,Georgia,,YES,,,,,,YES,YES,YES,YES,UNANIMOUS,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2017,51,5,25,50.01,100,
